,alloy_name,phases,VHN,R_delta,S_config,VEC,R_cov_delta,density_avg,Tm_avg,E_avg,E_delta,G_avg,G_delta,K_avg,K_delta,Compress_avg,Compress_delta,EN_Allen_avg,H_avg,Vm_delta,E_coh_avg,E_coh_delta,Senkov_param,H_chem,H_el
69,CoFeNiSi0.25,FCC,149,0.128211724,0.190329494,0.807692308,0.054479433,0.488119174,0.243095243,0.723800505,0.168073375,0.719321337,0.000770919,0.635428955,0.16482243,0.056522618,0.181739094,0.982756298,0.489195502,0.144489294,0.279312142,0.017038855,0.004235573,0.641200546,0.069896194
70,Al2.8CoCrCuFe,BCC,657,0.450830446,0.402057122,0.477124183,0.0446881,0.292276446,0.06277036,0.334923995,0.668500448,0.359679236,0.729002164,0.387959942,0.655868381,0.18495156,0.42222681,0.749459153,0.196425403,0.461313896,0.153633939,0.266096919,0.002386501,0.567530696,0.315570934
71,CoCrCuFe,FCC,134,0.061664465,0.293304947,0.791666667,0.122555924,0.501452081,0.252041697,0.555450337,0.29232757,0.587311591,0.304500657,0.614385587,0.147942557,0.058930366,0.099521619,0.875656743,0.396139151,0,0.211568525,0.192324326,0.005013697,1,0
72,CoFeNi,FCC,125,0.002255945,0,0.861111111,0.034280818,0.532183961,0.246523083,0.7641344,0,0.717498972,0,0.670756307,0.007467526,0.042829173,0.00332628,0.971978984,0.391044976,0.00812707,0.275143304,0,0.029896019,0.796180082,0.003460208
73,Al0.5CoCrCuFeNiTi1.2,FCC + BCC + Im,646,0.459118165,0.838645493,0.653814262,0.58834232,0.411939748,0.229536993,0.487215124,0.473830414,0.488824184,0.514334566,0.519221846,0.388900425,0.103375425,0.332129219,0.750581593,0.62957883,0.515205429,0.242041486,0.26039048,0.002943299,0.474215553,0.410380623
74,HfNbTiVZr,BCC + lm,388,0.480665123,0.520809939,0.222222222,0.289977814,0.461807956,0.536066899,0.217697811,0.315323596,0.254948238,0.450092576,0.361269999,0.417112638,0.160251951,0.239620519,0.131348511,0.774663181,0.468798634,0.632412715,0.384269324,0.308930427,0.830013643,0.482352941
75,Al0.20CoCrFeMnNi,FCC,171,0.265787711,0.623908589,0.695512821,0.196104048,0.464715665,0.245881826,0.652211215,0.252139701,0.674553039,0.202281274,0.526173487,0.539950717,0.137211888,0.590160801,0.8621851,0.30181596,0.192895523,0.198340482,0.346409493,0.006667507,0.653478854,0.069204152
76,HfNbSi0.5TiVZr,BCC + lm,464,0.657747609,0.682228004,0.217171717,0.682036691,0.416129208,0.50569365,0.219706535,0.297543167,0.299152009,0.5421878,0.347654611,0.417177809,0.165760316,0.226983379,0.220506289,0.855784875,0.500108971,0.604860486,0.415804367,0.002851029,0.398908595,0.534256055
77,AlCoCrFeNb0.1Ni,BCC,569,0.399414854,0.587030797,0.605119826,0.297520973,0.401410774,0.211723865,0.538326484,0.497753604,0.55976222,0.483266465,0.559499447,0.432319059,0.104347095,0.467491926,0.812987191,0.334157391,0.452787382,0.237133311,0.357270961,0.00214843,0.458117326,0.294809689
78,AlFeNiTiVZr,BCC,800,0.644198254,0.706695053,0.398148148,0.941671643,0.305382689,0.256605671,0.350448934,0.706974365,0.321908134,0.765478911,0.38098133,0.552923918,0.17022181,0.352658664,0.528312901,0.540652859,0.726969971,0.355046031,0.470045913,0.000365058,0.001091405,0.811072664
79,AlLiMg0.5ScTi1.5,FCC + HCP,591,0.352523777,0.467462413,0,0.649490158,0,0,0,0.746595725,0,0.798626192,0,1,1,1,0,0.544460084,0.407229039,0.070870245,1,0.040435783,0.846930423,0.240138408
