,alloy_name,phases,VHN,R_delta,S_config,VEC,R_cov_delta,density_avg,Tm_avg,E_avg,E_delta,G_avg,G_delta,K_avg,K_delta,Compress_avg,Compress_delta,EN_Allen_avg,H_avg,Vm_delta,E_coh_avg,E_coh_delta,Senkov_param,H_chem,H_el
129,CrHfNbTiZr,BCC + lm,464,0.598709999,0.520809939,0.25,0.582616944,0.483012953,0.535740837,0.236637205,0.357190818,0.321997533,0.553705865,0.392439692,0.4974,0.153141665,0.274465392,0.173380035,0.843836718,0.578257967,0.581969776,0.533159282,0.014376425,0.717326057,0.838754325
130,Ti0.75NbMoTaW,BCC,495.6,0.169398994,0.514825402,0.342105263,0.08175414,0.867420245,0.895960207,0.871660686,0.813221137,0.867665866,0.793366362,0.88099757,0.544642279,0.031148181,0.395310299,0.229053369,0.314011451,0.1035867,0.901346644,0.439290159,0.013092449,0.674761255,0.085813149
131,Al0.5B0.6CoCrCuFeNi,,505,0.822357721,0.832700458,0.688069217,0.770338473,0.417009944,0.240320762,0.556054051,0.382954049,0.471783458,0.712475868,0.585692872,0.289121568,0.079354069,0.343180251,0.923458988,0.665989787,0.419189092,0.248626761,0.370077557,0.00519919,0.591814461,0.186851211
132,Al3CoCrFeNi,BCC,506,0.470408056,0.38382218,0.444444444,0.101014419,0.282948417,0.083799086,0.395066739,0.707446582,0.411115624,0.732058581,0.417403868,0.681333752,0.179496097,0.455960173,0.75181386,0.219413404,0.491894406,0.179557805,0.281637799,0.000763077,0.369167804,0.38200692
133,Cu25Mn25Ni25Zn25,FCC,147,0.298293892,0.293304947,1,0.133401329,0.488775181,0.00484937,0.487978746,0.47409465,0.46293515,0.544908109,0.276713919,0.826254128,0.275910039,0.450033734,0.845008757,0.049428916,0.307920972,0,0.964929393,0.004653794,0.68622101,0.18615917
134,Al0.56CoCrFeMnNi,FCC + BCC,278,0.328405581,0.688585503,0.652278177,0.182633624,0.434202327,0.216518576,0.611269318,0.353432318,0.633110119,0.337051068,0.496280618,0.591913887,0.151959582,0.570921847,0.843213345,0.276519102,0.313031244,0.190087013,0.351378993,0.004058288,0.57053206,0.144636678
135,Al0.49CoCrFeMnNi,FCC + BCC,220,0.318588464,0.681040779,0.660240842,0.185148653,0.439822067,0.221926501,0.61880972,0.336560351,0.640742796,0.315939504,0.501786085,0.582666246,0.149243452,0.574662052,0.846707435,0.281178107,0.295842204,0.191607081,0.350599316,0.004391295,0.584720327,0.131487889
136,AlCrFeNiMo0.2,BCC,549,0.417476564,0.421186599,0.543650794,0.287549163,0.373651364,0.220841751,0.542673761,0.612541604,0.564945862,0.600787336,0.548540796,0.535929082,0.11648983,0.488017607,0.76599116,0.261507378,0.445103251,0.236432666,0.420981705,0.001983287,0.474215553,0.329411765
137,AlCoCrFe0.5Mo0.5Ni,BCC + Im,755,0.393988692,0.66214895,0.583333333,0.437310382,0.420227723,0.259274315,0.607744108,0.611523987,0.618891809,0.602732148,0.61615408,0.526441524,0.096491228,0.511479982,0.767075306,0.316348281,0.456625934,0.275977071,0.521001487,0.002707672,0.476944065,0.391695502
138,Al2.0CoCrCuFe,FCC + BCC,567,0.436474984,0.471130035,0.537037037,0.061259649,0.332119424,0.098822044,0.376929012,0.615970189,0.40303778,0.670521335,0.431088637,0.592113569,0.160947523,0.436909715,0.773496789,0.234466117,0.454103535,0.164669098,0.262164951,0.003593422,0.611186903,0.289965398
139,Al2.5CoCrFeNi,BCC,487,0.465030739,0.428994521,0.476495726,0.112292981,0.305217209,0.106215728,0.423926768,0.671511032,0.440086813,0.691810649,0.444550724,0.642257746,0.165227963,0.468879507,0.765862859,0.243128277,0.492214974,0.187918387,0.273757476,0.000937838,0.378171896,0.370242215
140,AlCrFeNi,BCC,472,0.421925352,0.293304947,0.548611111,0.142966487,0.358087862,0.18896212,0.500473485,0.558058865,0.527637719,0.549946195,0.517394788,0.49517356,0.123753768,0.472761276,0.788091068,0.274482204,0.444305123,0.208963002,0.228997101,0.001458933,0.457571623,0.282352941
141,CoCrFeMnNi,FCC,160,0.210905269,0.520809939,0.722222222,0.204209155,0.483566127,0.26402179,0.677504209,0.16975284,0.700155554,0.041250741,0.544640637,0.505544302,0.12810109,0.60058089,0.873905429,0.317443797,0.042089763,0.203439291,0.342445325,0.010290565,0.711323329,0.017301038
142,Al0.25CoFeNi,FCC,138,0.257701227,0.190329494,0.797008547,0.04119026,0.490743203,0.21158921,0.706884551,0.260489261,0.664959832,0.288354881,0.624120802,0.240492953,0.067610147,0.348601919,0.940994207,0.354127674,0.297042762,0.259429992,0.129555874,0.004798499,0.663301501,0.124567474
143,Al0.5CoCrCuFe,FCC,207,0.29873189,0.491911778,0.706790123,0.103469914,0.445007862,0.200968479,0.495943229,0.424407767,0.525886988,0.456494641,0.553286603,0.347678559,0.092936085,0.370396373,0.841603425,0.34224814,0.311017983,0.195935383,0.226062069,0.133862442,0.833560709,0.129411765
144,Al2.3CoCrCuFe,FCC + BCC,603,0.44388947,0.446417569,0.512786596,0.054677468,0.315992504,0.084229696,0.359926981,0.638144861,0.385487893,0.695190312,0.413631784,0.619131468,0.170663443,0.432339772,0.76376727,0.219068685,0.45891692,0.160202486,0.264310683,0.00301401,0.591268759,0.302422145
145,Al0.25MoNbTiV,BCC,460,0.258678849,0.438255099,0.289215686,0.259620823,0.394342442,0.56441263,0.492999851,0.920809441,0.524186653,0.883975651,0.611817371,0.608303943,0.090572051,0.388020596,0.301328938,0.507659006,0.212321865,0.609876468,0.530594562,0.0085509,0.659481583,0.138408304
146,Al1.5CoCrFeMo0.5Ni,BCC + Im,655,0.420244389,0.662238781,0.548611111,0.381743956,0.388819742,0.221206114,0.571496212,0.647502056,0.580271416,0.65084061,0.56846924,0.582163397,0.115767576,0.510230499,0.761821366,0.278369864,0.465623991,0.257252041,0.510544846,0.002354606,0.459208731,0.391695502
147,CoCuFeMnNi,FCC,208,0.204750185,0.520809939,0.861111111,0.127131137,0.516940949,0.174639266,0.659617003,0.229458421,0.633642654,0.280647362,0.485948769,0.521666264,0.143867378,0.546776977,0.943957968,0.206283531,0.035976326,0.17800938,0.379402956,0.022573246,0.874761255,0.014532872
148,NbTaVW,BCC,492,0.215968348,0.293304947,0.340277778,0.131858061,0.903194579,0.903268019,0.733007155,0.901590993,0.743871694,0.86953281,0.847191135,0.478423669,0.024345003,0.208385115,0.267075306,0.070380052,0.229893416,0.921313184,0.446993261,0.013491571,0.697953615,0.19100346
149,AlCoCrFeNi,BCC,458,0.388713476,0.520809939,0.611111111,0.155113958,0.398746139,0.200365625,0.545138889,0.491758896,0.56176581,0.486464794,0.558567521,0.437938713,0.105301801,0.470165612,0.824868651,0.342730746,0.429595258,0.22303283,0.212756501,0.002219883,0.483492497,0.255363322
150,AlCrFeNiMo0.5Ti0.6,BCC + Im,756.1,0.468186809,0.671555204,0.493464052,0.562534395,0.366864526,0.272493031,0.550498861,0.686208675,0.561418732,0.694158727,0.549627527,0.598705974,0.117447783,0.465585196,0.669448165,0.44944662,0.490226621,0.285074947,0.518775399,0.001640111,0.346521146,0.475432526
151,Al0.75HfNbTaTiZr,BCC,427,0.332823965,0.701560759,0.196859903,0.579240531,0.567472176,0.543688264,0.244963219,0.534550786,0.26840474,0.56061233,0.359179525,0.598847447,0.179025662,0.316022296,0.130587071,0.60047736,0.315678964,0.660307678,0.627494694,0.004711153,0.51568895,0.21799308
152,MoNbTaV,BCC,504,0.222388468,0.293304947,0.340277778,0.172493678,0.6934495,0.795667277,0.631734007,0.720077371,0.646650217,0.666374984,0.777142226,0.31519831,0.029851611,0.152044903,0.267075306,0.03016288,0.23554964,0.812923398,0.37189087,0.019212675,0.739154161,0.191695502
153,AlCoCrFe2Mo0.5Ni,BCC + Im,639,0.36948475,0.625218757,0.615384615,0.358818056,0.431737994,0.261598892,0.643024799,0.519437757,0.646804946,0.516952758,0.611409757,0.453006462,0.087912513,0.462381881,0.7981948,0.304691488,0.412450036,0.271455486,0.45488668,0.003845396,0.557162347,0.316262976
154,AlCoCrFeNb0.25Ni,BCC + Im,668,0.413062889,0.63785802,0.596560847,0.439652709,0.405217395,0.227949922,0.528594477,0.505967287,0.556899947,0.47855573,0.560830771,0.42421293,0.102983229,0.463520817,0.796013677,0.321909741,0.48096162,0.257276856,0.484922251,0.001998615,0.423738063,0.348096886
155,CoFeMoNi2V,FCC + Im,382,0.232109618,0.471130035,0.722222222,0.723564028,0.524040013,0.382292033,0.800960999,0.392355116,0.744095192,0.451092526,0.739561745,0.260536303,0.034327743,0.111085387,0.785172212,0.29170856,0.352102744,0.395344798,0.458730663,0.004388106,0.576261937,0.373702422
156,Hf0.5Mo0.5NbSi0.9TiZr,BCC + Im,640,0.751727742,0.664166015,0.223356009,0.913609341,0.373845791,0.509447305,0.304213478,0.89761747,0.433583979,0.846444247,0.385361207,0.7275686,0.168242349,0.278447991,0.306122449,0.91732088,0.452912556,0.61775372,0.460669236,0.000919434,0.051841746,0.45467128
157,AlMoNbTiV,BCC,537,0.24361883,0.520809939,0.25,0.494081482,0.334209192,0.448608146,0.422032828,0.990795857,0.450732178,0.968478928,0.529718975,0.734344593,0.131733519,0.449638489,0.34150613,0.418178162,0.18896115,0.529025534,0.681456459,0.00312186,0.477216917,0.110726644
158,Al0.5CoCrCuFeNiTi0.4,FCC,321,0.368397255,0.812784439,0.719868173,0.385302088,0.446056566,0.214412339,0.527897264,0.435128175,0.533155081,0.457252996,0.556225766,0.343610065,0.090643711,0.348575958,0.829796076,0.4452859,0.416797097,0.223986716,0.241803792,0.006778925,0.643656207,0.249134948
159,AlCoCrFeMo0.5Ni,BCC + Im,747,0.386171822,0.682228004,0.595959596,0.407669219,0.424762072,0.260190057,0.621642562,0.576057483,0.629887894,0.569805576,0.614285104,0.49878983,0.093111734,0.49376996,0.779334501,0.311756211,0.440963837,0.274195841,0.496124504,0.003175837,0.508594816,0.363321799
160,AlCoCrCuFe,FCC + BCC,407,0.376481957,0.520809939,0.638888889,0.087310838,0.399852487,0.160109905,0.448337542,0.509415765,0.476747305,0.551880032,0.504407417,0.459294343,0.12014066,0.426129585,0.814360771,0.299135331,0.39800276,0.183428869,0.245042786,0.010713737,0.726875853,0.209688581
161,Al1.25CoCrFeMnNi,BCC,539,0.391515382,0.702813933,0.583333333,0.16015111,0.385543724,0.169693979,0.54598064,0.480043307,0.567022475,0.48785501,0.448611457,0.666355,0.175477239,0.535415669,0.81295972,0.236179047,0.412894277,0.176925482,0.355501813,0.002286332,0.464938608,0.241522491
162,Al0.5MoNbTiV,BCC,487,0.253488007,0.491911778,0.274691358,0.365637941,0.372070868,0.521522081,0.466715769,0.947711562,0.496981292,0.916427225,0.581410558,0.657323765,0.105817039,0.424181989,0.316209379,0.474517952,0.203891333,0.579931677,0.592361471,0.005412189,0.583628922,0.128027682
163,CoCuFeNiTiVZr,,630,0.660073246,0.863858677,0.623015873,0.990356814,0.424402869,0.288027779,0.447225228,0.548398278,0.412073471,0.620209917,0.481038042,0.392106799,0.114244863,0.295523507,0.651738804,0.574588492,0.821568587,0.347204645,0.428716589,0.001794028,0.312687585,0.846366782
164,Al0.3CoCrCuFeNi,FCC,180,0.220685365,0.649699154,0.787735849,0.143024799,0.484700308,0.220778062,0.572781669,0.365666455,0.579993098,0.368721926,0.598170923,0.2521132,0.072243925,0.298757397,0.889700294,0.348956061,0.235720687,0.218352719,0.210364628,1,0.82319236,0.083737024
165,FeMoNiTiVZr,BCC + Im,740,0.641341044,0.706695053,0.467592593,0.854697879,0.420627238,0.434280944,0.578247755,0.764560457,0.534677895,0.85076785,0.565475697,0.613589366,0.104593348,0.380617108,0.48744892,0.555801327,0.731541729,0.474205315,0.436362395,0.001985122,0.314870396,0.907266436
166,Al0.8CoCrCuFe,FCC + BCC,271,0.352072556,0.517107559,0.664351852,0.093472217,0.416785753,0.17543187,0.466189675,0.479074371,0.495174686,0.517952254,0.522737112,0.420222814,0.109938944,0.41193385,0.824576766,0.315302634,0.371772279,0.188118812,0.238671667,0.018530142,0.76425648,0.18200692
167,CrCuFeMnNi,FCC + BCC,296,0.204750185,0.520809939,0.777777778,0.153036765,0.48541004,0.219418565,0.597537879,0.282910149,0.618355415,0.280057692,0.484511868,0.519822043,0.144176521,0.545455923,0.877408056,0.209018299,0.023748767,0.16591975,0.359524094,0.015142934,0.90095498,0.009688581
168,CrCuFeMoNi,FCC,263,0.225996492,0.520809939,0.75,0.536179853,0.538883511,0.368972728,0.738531145,0.512640029,0.735289385,0.50564106,0.719831993,0.351230969,0.042623078,0.179403011,0.779334501,0.25248341,0.316617961,0.328504429,0.634700513,0.010077903,0.952251023,0.321107266
169,AlCoCuFeNbNi,Im,578,0.436474984,0.706695053,0.675925926,0.791773711,0.449207886,0.222425227,0.472327441,0.557587589,0.489307872,0.517244546,0.517579007,0.403324077,0.110325373,0.407009028,0.782253357,0.177223675,0.55959595,0.321695327,0.790009788,0.002385527,0.4526603,0.521107266
170,AlCo2CrFeMo0.5Ni,FCC + BCC + Im,586,0.364125753,0.625218757,0.636752137,0.392553829,0.445780099,0.25800384,0.637359169,0.519938556,0.640409475,0.517735172,0.631050234,0.447208744,0.083632072,0.477486963,0.808972114,0.358520627,0.429771529,0.274982964,0.452616516,0.00333215,0.529331514,0.335640138
171,CoFeNiV,FCC,238,0.158777221,0.293304947,0.722222222,0.614056606,0.4735629,0.302768926,0.652777778,0.267672809,0.609773105,0.314903291,0.643123601,0.035017903,0.04926965,0.018205029,0.836252189,0.364166499,0.213553268,0.32412715,0.202543159,0.002805398,0.54324693,0.112110727
172,MoNbTaW,BCC,454,0.144848071,0.293304947,0.375,0.086355649,1,1,1,0.706089489,1,0.652864881,1,0.376371654,0,0.218779878,0.240805604,0,0.115340303,1,0.222909501,0.009658226,0.643929059,0.101038062
173,Al0.5CoCrCuFeNiTi0.6,FCC + BCC,458,0.399248155,0.832700458,0.701730419,0.456450151,0.436688423,0.21856542,0.516726348,0.446617498,0.520982252,0.474114521,0.546064854,0.35720918,0.094139715,0.344622196,0.808044558,0.495890926,0.452108333,0.228944378,0.248320255,0.005048583,0.591814461,0.298269896
174,Al0.3NbTa0.8Ti1.4V0.2Zr1.3,BCC,500,0.353428416,0.530895199,0.213888889,0.401038318,0.454247914,0.544207167,0.20787037,0.54166367,0.233975219,0.601713063,0.372510984,0.581227596,0.171187882,0.313246119,0.173029772,0.663502916,0.34479897,0.658426264,0.576894747,0.011792145,0.6946794,0.214532872
175,CoCrCu0.5FeNi,FCC,172,0.038685526,0.491911778,0.799382716,0.171952693,0.507905776,0.271317144,0.637287224,0.252854574,0.648661696,0.207163341,0.653255593,0.086449931,0.048325047,0.067795783,0.899980541,0.408740532,0.026291654,0.242255805,0.142335653,0.081466486,0.840381992,0.00899654
176,CoCrCuFeNi,FCC,234.6,0.053411575,0.520809939,0.833333333,0.152313438,0.51417508,0.246481782,0.605955387,0.287414213,0.612723274,0.275954466,0.630191495,0.127523352,0.054679651,0.091495388,0.908931699,0.375226222,0.023095051,0.227201668,0.186473993,0.012911167,0.915416098,0.007612457
177,Al1.3CoCrCuFeNi,FCC + BCC,470,0.381838575,0.70124202,0.667107584,0.116429856,0.406724721,0.152778804,0.485020509,0.527857729,0.493405329,0.550633619,0.513460417,0.464072381,0.118710261,0.438676654,0.838823562,0.279458281,0.423869182,0.194942803,0.254995824,0.005260693,0.629195089,0.24083045
178,Al0.75MoNbTiV,BCC,517,0.248463372,0.514825402,0.261695906,0.43945374,0.35214367,0.483146326,0.443198432,0.970843345,0.472639653,0.94434385,0.554204462,0.698807266,0.119457292,0.441872131,0.329523458,0.444865431,0.196132659,0.55313897,0.641475987,0.003961391,0.523874488,0.119031142
179,HfNbTaZr,BCC,365,0.361470935,0.293304947,0.236111111,0,0.776886553,0.735209789,0.301609848,0.519439775,0.338893955,0.501959713,0.442648319,0.532860301,0.139597341,0.329491221,0.039404553,0.382666399,0.283165768,0.842105263,0.255887499,0.017253987,0.915143247,0.235294118
180,HfNbTaTiZr,BCC,340,0.336194748,0.520809939,0.222222222,0.146356997,0.653574886,0.656384093,0.278724747,0.491087094,0.303491927,0.50761956,0.403382243,0.529884841,0.151132236,0.285460126,0.064798599,0.703880957,0.295441899,0.748723293,0.42418266,0.024165479,0.897135061,0.220761246
181,CoFeMo0.8NiV,FCC + Im,606,0.235369695,0.517107559,0.675925926,0.710676492,0.508789318,0.395379834,0.775094697,0.423789163,0.726662376,0.481364821,0.731179824,0.271527174,0.036259886,0.115496861,0.750875657,0.303807226,0.338981741,0.40107695,0.457204418,0.004633575,0.576534789,0.352941176
182,CoCrFeMnNiV0.75,FCC + Im,342,0.215494953,0.701560759,0.667874396,0.431989147,0.459322683,0.291085007,0.630704692,0.244265176,0.646212939,0.226973651,0.546673443,0.463807745,0.120338915,0.577184854,0.815883652,0.313020397,0.14285989,0.238348778,0.403185542,0.006605913,0.636016371,0.06366782
183,CoFeMoNi1.8V,FCC + Im,510,0.234534833,0.486148916,0.712643678,0.724834996,0.522625287,0.38774203,0.800719116,0.400017681,0.745120199,0.458741193,0.741153008,0.265758369,0.034212259,0.114063328,0.776314995,0.291713182,0.352807178,0.398986541,0.462744463,0.00447195,0.576261937,0.377854671
184,CoCrFeMnNiV1.0,FCC + Im,650,0.215639388,0.706695053,0.652777778,0.469159382,0.452588393,0.298602567,0.617704826,0.260328655,0.631228879,0.256291637,0.547238111,0.451714979,0.118182755,0.569724417,0.799766492,0.311791675,0.158368658,0.248045857,0.412476581,0.006051284,0.619918145,0.074048443
185,HfMo0.5NbTaTiZr,BCC,480,0.374151021,0.682228004,0.242424242,0.191082346,0.656424569,0.674752301,0.379447888,0.790893562,0.395093455,0.790933818,0.473207579,0.656422511,0.134775766,0.335731692,0.088361726,0.640074585,0.33132581,0.752096262,0.401912934,0.122739438,0.841200546,0.305882353
186,CoCrFeMnNiV0.25,FCC,151,0.213336382,0.63785802,0.702380952,0.310934534,0.474715346,0.273902012,0.660418671,0.200621307,0.680462219,0.137168114,0.545382772,0.490611657,0.12526728,0.592625373,0.852722875,0.315828905,0.09100969,0.216184024,0.370481169,0.008560354,0.680763984,0.035986159
187,Al0.2Co1.5CrFeNi1.5Ti0.5,FCC,487,0.357679376,0.556391529,0.710038986,0.474834501,0.463570996,0.276065522,0.626186943,0.331843415,0.626053144,0.317875232,0.626796065,0.240344965,0.064516632,0.290334882,0.834946385,0.567153859,0.419215327,0.268524359,0.123299297,0.002697754,0.491132333,0.266435986
188,Al1.5CoCrCuFeNi,FCC + BCC,506,0.396545046,0.692904514,0.647435897,0.111780375,0.394008702,0.141689695,0.470708689,0.550526203,0.479284863,0.575478266,0.499646089,0.491592151,0.126287848,0.444724397,0.830526741,0.268124797,0.438849111,0.191125185,0.260190547,0.004412923,0.604638472,0.260207612
189,Al1.3CoCrCuFe,FCC + BCC,476,0.402821657,0.514606423,0.604297694,0.0787285,0.376848805,0.13929516,0.424085589,0.548117554,0.451713881,0.595032646,0.479506699,0.508215577,0.133999595,0.436599928,0.800482437,0.277172202,0.424661621,0.177057626,0.252335113,0.006644374,0.681582538,0.242214533
190,AlCrFeNiMo,BCC + Im,905,0.398163293,0.520809939,0.527777778,0.518782638,0.423454571,0.322856571,0.677714646,0.671206941,0.684331921,0.661253131,0.648208019,0.586091528,0.093245228,0.531698346,0.695271454,0.219987935,0.435298942,0.324335591,0.649757978,0.003323802,0.527967258,0.44083045
191,Al0.25CoCrFeNi,FCC,111.5,0.224084901,0.438255099,0.714052288,0.183940901,0.470268262,0.272362605,0.637830511,0.306032825,0.654814455,0.253276187,0.645756835,0.20159345,0.059475912,0.316882929,0.869990728,0.41889734,0.248401643,0.24988505,0.118718414,0.005418013,0.638744884,0.09550173
192,AlMo0.5NbTa0.5TiZr,BCC,591,0.338643464,0.66214895,0.208333333,0.670754941,0.400958835,0.463987444,0.283670034,1,0.314085716,1,0.402774324,0.810141011,0.181891955,0.383179539,0.245183888,0.454856224,0.333799466,0.594893174,0.710317091,0.002421041,0.372442019,0.202076125
193,Al2.5CoCrCuFe,FCC + BCC,624,0.447349389,0.428994521,0.497863248,0.050544008,0.306068246,0.075249789,0.349464193,0.651180584,0.374687963,0.70970207,0.402889106,0.634939918,0.17664247,0.428562441,0.757779873,0.209593343,0.460567913,0.157453802,0.265258464,0.002726742,0.580627558,0.308650519
194,AlCrCuFeNi1.4,FCC + BCC,367,0.36670071,0.510336657,0.691358025,0.125980757,0.412773535,0.160834972,0.490565376,0.522908268,0.497328955,0.536232921,0.512881446,0.434534426,0.115177199,0.420495177,0.844197963,0.238547415,0.403934054,0.193233358,0.252690389,0.005916767,0.663847203,0.21799308
195,Al0.5CoCrCuFeNiV0.8,FCC + BCC + Im,447,0.268457819,0.841415274,0.702380952,0.424056266,0.445359084,0.239016737,0.522966103,0.415241623,0.525418707,0.441110839,0.576410354,0.284620144,0.081073339,0.331792375,0.821032441,0.326748569,0.301893422,0.245762922,0.315741166,0.0098572,0.687585266,0.144636678
196,Al0.5CrFe1.5MnNi0.5,BCC,396,0.346529365,0.432636749,0.583333333,0.093756496,0.401266153,0.220638523,0.588886551,0.375667317,0.629440898,0.358200475,0.440729381,0.645718398,0.178293875,0.546913378,0.802685347,0.203152133,0.296610198,0.16814313,0.365824365,0.004603828,0.625375171,0.129411765
197,CuFeNiTiVZr,,590,0.672956321,0.706695053,0.583333333,0.963657153,0.401573472,0.295035802,0.401129349,0.582704711,0.364372687,0.651463715,0.440667975,0.393132391,0.128036685,0.27956616,0.598365441,0.567732422,0.812113641,0.358520063,0.453829662,0.001787512,0.348976808,0.858131488
198,Cu31.6Mn31.6Ni31.6Al5,FCC,166,0.257509833,0.146579515,0.863337787,0.161697307,0.491473151,0.102911628,0.57526058,0.368328032,0.549530859,0.423485883,0.354975944,0.696787173,0.217297955,0.493058923,0.929617554,0.042996881,0.221290694,0.115749999,0.423647779,0.007561694,0.729331514,0.0816609
199,AlCoFeNi,BCC,456,0.421925352,0.293304947,0.652777778,0.046160244,0.397501498,0.132987997,0.578072391,0.519666728,0.546746768,0.553245894,0.519190914,0.496950005,0.123367339,0.474425131,0.871278459,0.271063744,0.481177846,0.224075039,0.242368992,0.001205147,0.446930423,0.321799308
200,CoCuFeMnNiSn0.08,FCC + Im,219,0.308742712,0.57754622,0.850174978,0.166579836,0.515361282,0.164953282,0.648415752,0.265587556,0.629507772,0.285063307,0.482688545,0.522132253,0.144404118,0.541149125,0.94384765,0.200406605,0.430395808,0.175501512,0.382669975,0.023817995,0.873396999,0.193771626
201,Cu30Mn30Ni30Sn10,FCC + Im,318,0.554639204,0.21942835,0.833333333,0.32451279,0.507629189,0.063318689,0.538930976,0.458468838,0.556133669,0.365227053,0.361159468,0.651821158,0.206352887,0.485922283,0.947460595,0.028267042,1,0.108181344,0.42737488,0.019054108,0.782537517,1
202,AlCo0.5CrFeMo0.5Ni,BCC + Im,801,0.398089694,0.66214895,0.569444444,0.411691143,0.411100355,0.261611098,0.611426768,0.611124954,0.623048866,0.602121474,0.60338777,0.53078239,0.099273514,0.501101313,0.760070053,0.28135934,0.443853575,0.273684211,0.522677646,0.003016572,0.500409277,0.375086505
203,Al0.88CoCrFeMnNi,FCC + BCC,533,0.363845534,0.705602934,0.618291761,0.171714647,0.410216029,0.193436353,0.579085212,0.419500976,0.600532162,0.4170373,0.472782066,0.629846596,0.16355263,0.554076635,0.828299796,0.25663344,0.37129474,0.183599026,0.354007339,0.002997079,0.514324693,0.195847751
204,AlCrFeNiMo0.5Ti0.5,BCC + Im,751.7,0.461581511,0.66214895,0.5,0.545519678,0.370995252,0.271121265,0.557765152,0.681637578,0.56940943,0.686624153,0.555693719,0.594696049,0.115851302,0.471894844,0.679509632,0.418660768,0.485475674,0.283272538,0.524167373,0.001747961,0.365893588,0.464359862
205,CoCuFeMnNiSn0.20,FCC + Im,319,0.411853687,0.623908589,0.834401709,0.214601723,0.513082916,0.150983113,0.632260101,0.312069458,0.623543999,0.291138163,0.477986298,0.522634571,0.145178262,0.532992529,0.943688536,0.19193027,0.677101998,0.171884395,0.387105171,0.025288841,0.871214188,0.442214533
206,Al0.5CoCrCuFeNiTi0.2,FCC,272,0.328310109,0.773965268,0.739278752,0.287650524,0.456082122,0.209967814,0.539852103,0.422105236,0.546182143,0.438142767,0.567099724,0.328022401,0.086902375,0.352296399,0.853074016,0.391129644,0.368927076,0.218681148,0.233460891,0.010516537,0.703410641,0.191695502
207,CoFeNiSi0.75,FCC + Im,570,0.205183461,0.286165981,0.722222222,0.075696415,0.417615513,0.237610698,0.659266274,0.292872621,0.722237122,0.001330679,0.578905192,0.299112241,0.07843213,0.265034508,1,0.646236343,0.234015392,0.285982282,0.032395467,0.001517617,0.447476126,0.152249135
208,AlCoCrFe0.6Mo0.5Ni,BCC + Im,754,0.392491437,0.671555204,0.586056645,0.431042497,0.42120572,0.259471828,0.610741814,0.60394912,0.621263514,0.595711885,0.615750968,0.520602704,0.095762318,0.507820089,0.769719446,0.315357834,0.453420908,0.275592884,0.515750501,0.002813192,0.483765348,0.385467128
209,AlCoFeNiTiVZr,BCC,790,0.650596922,0.863858677,0.464285714,0.974412653,0.341953626,0.255087667,0.403784873,0.660090896,0.375675282,0.723090493,0.429878061,0.540136494,0.150403542,0.379761011,0.59169377,0.551377438,0.76449737,0.344226904,0.442990037,0.000512461,0,0.847750865
210,Al0.5CoCrCuFeNiV1.8,BCC,597,0.25934997,0.807280363,0.648021309,0.543900587,0.425131773,0.270864643,0.494985529,0.416704802,0.4927032,0.456392791,0.574193248,0.258687828,0.079363441,0.307008107,0.767339203,0.320828364,0.294310154,0.276628095,0.354440936,0.006724107,0.631923602,0.152941176
211,Al0.95CoCrFeMnNi,FCC + BCC,535,0.369980109,0.706512998,0.611344538,0.169444413,0.405312948,0.188718075,0.572506402,0.432045002,0.593872844,0.43186422,0.467978686,0.637301783,0.165922386,0.550469912,0.825251291,0.252568576,0.380813942,0.182272805,0.354403236,0.002834401,0.503956344,0.205536332
212,AlCuNiTi,FCC,537,0.464353561,0.293304947,0.583333333,0.68306593,0.322362052,0.095167422,0.334753788,0.650863938,0.300005364,0.667760363,0.356710603,0.540912722,0.177950383,0.332744228,0.691768827,0.566257792,0.538073174,0.206878583,0.378478409,0,0.156070941,0.489965398
213,AlCrFeNiMo0.5Ti0.25,BCC + Im,712,0.440477169,0.617292,0.51754386,0.490870041,0.382082991,0.267439157,0.577269405,0.668582611,0.590858146,0.665440904,0.571976655,0.583022243,0.111566012,0.488715259,0.70651673,0.336025062,0.468973588,0.278434492,0.538338872,0.002095156,0.42319236,0.429065744
214,Al0.68CoCrFeMnNi,FCC + BCC,486,0.343322211,0.697888855,0.639084507,0.178430902,0.424890745,0.207557959,0.598775312,0.380115735,0.620463218,0.369800201,0.487158381,0.606931569,0.156460053,0.564546524,0.837423843,0.268799404,0.338248201,0.187568349,0.352534635,0.003587698,0.547885402,0.165397924
215,Al0.3NbTaTi1.4Zr1.3,BCC,490,0.321506358,0.428858597,0.213888889,0.388024294,0.4926013,0.568270606,0.220075758,0.571991899,0.243683956,0.614405805,0.380933433,0.598333483,0.169363938,0.321788166,0.15971979,0.649346471,0.308852707,0.681688379,0.580954493,0.012466641,0.706412005,0.170242215
216,Al0.5CoCrCuFeNiV0.2,FCC,204,0.272723969,0.773965268,0.744152047,0.248058833,0.460902175,0.214544135,0.544466965,0.410081486,0.550557991,0.424013464,0.578114024,0.303207993,0.082387261,0.349291514,0.862291455,0.33129778,0.302152786,0.222045473,0.256644439,0.017133788,0.746248295,0.131487889
